time_stamps	avg_robot_linear_speed	avg_robot_angular_speed	
0.0	-0.3044529855251312	0.017938241362571716	
0.109	-0.23872150480747223	-0.451421856880188	
0.219	-0.2949334979057312	-0.4922538697719574	
0.297	-0.2999926805496216	-0.49257493019104004	
0.402	-0.29412779211997986	-0.49564191699028015	
0.51	-0.29819896817207336	-0.48933857679367065	
0.605	-0.3000199496746063	-0.49171727895736694	
0.709	-0.2994413375854492	-0.492951363325119	
0.816	-0.2993307411670685	-0.4920201301574707	
0.907	-0.2945859730243683	-0.49060818552970886	
1.008	-0.26602086424827576	-0.4910665452480316	
1.115	-0.28749921917915344	-0.4978548586368561	
1.212	-0.28025704622268677	-0.49894601106643677	
1.315	-0.24948251247406006	-0.49861815571784973	
1.4	-0.2611035406589508	-0.4973874092102051	
1.516	-0.2625846266746521	-0.4982678294181824	
1.604	-0.2395707368850708	-0.49932414293289185	
1.7069999999999999	-0.22773009538650513	-0.5063462853431702	
1.817	-0.21432913839817047	-0.4989989101886749	
1.916	-0.2300087809562683	-0.49884551763534546	
2.007	-0.1817992776632309	-0.4987499713897705	
2.103	-0.15948936343193054	-0.4991031289100647	
2.213	-0.16992533206939697	-0.4989840090274811	
2.313	-0.11833708733320236	-0.49860578775405884	
2.412	-0.12102893739938736	-0.49871641397476196	
2.485	-0.09200836718082428	-0.49830466508865356	
2.614	-0.06243262067437172	-0.4983442425727844	
2.709	-0.033006440848112106	-0.49833863973617554	
2.803	-0.014709323644638062	-0.4979787766933441	
2.906	0.035021234303712845	-0.4985027015209198	
3.017	0.02220241166651249	-0.49834102392196655	
3.116	0.07723702490329742	-0.49679869413375854	
3.201	0.11063980311155319	-0.4964061379432678	
3.312	0.11661096662282944	-0.4984765648841858	
3.402	0.1998596340417862	-0.4985959529876709	
3.507	0.25120049715042114	-0.4987848699092865	
3.604	0.2628825008869171	-0.49843910336494446	
3.702	0.286572128534317	-0.4983938932418823	
3.8120000000000003	0.30065345764160156	-0.5006116628646851	
3.903	0.3005335330963135	-0.4985460937023163	
3.998	0.30026891827583313	-0.499097615480423	
4.112	0.30019983649253845	-0.49936342239379883	
4.213	0.3003448247909546	-0.4976366460323334	
4.281	0.30036646127700806	-0.4989268183708191	
4.415	0.3005412518978119	-0.4976935088634491	
4.513	0.30040502548217773	-0.4988807141780853	
4.605	0.30040743947029114	-0.4991324543952942	
4.72	0.30044808983802795	-0.49859076738357544	
4.801	0.3002449870109558	-0.4994456470012665	
4.916	0.30021360516548157	-0.49907559156417847	
5.004	0.29987382888793945	-0.5012145042419434	
5.107	0.30016034841537476	-0.4980617165565491	
5.207	0.30030113458633423	-0.49017035961151123	
5.304	0.3007711172103882	-0.45825400948524475	
5.4	0.3004128038883209	-0.46649590134620667	
5.513	0.3001739978790283	-0.4040050804615021	
5.611	0.3002764880657196	-0.3845597207546234	
5.713	0.3001112937927246	-0.3767564296722412	
5.811	0.29996204376220703	-0.33356040716171265	
5.908	0.30038419365882874	-0.31247276067733765	
6.017	0.300319641828537	-0.3029636740684509	
6.099	0.30004769563674927	-0.279471755027771	
6.217	0.30000340938568115	-0.26139044761657715	
6.317	0.3000190556049347	-0.24355833232402802	
6.409	0.29998257756233215	-0.23457545042037964	
6.515	0.2999335825443268	-0.2170128971338272	
6.605	0.2998282015323639	-0.2047632932662964	
6.709	0.30000707507133484	-0.19887560606002808	
6.803	0.30002260208129883	-0.18714605271816254	
6.917	0.29951977729797363	-0.16937722265720367	
7.001	0.30012503266334534	-0.15746396780014038	
7.075	0.2995017468929291	-0.14525838196277618	
7.204	0.30007266998291016	-0.11958817392587662	
7.309	0.29957208037376404	-0.10693943500518799	
7.416	0.30009397864341736	-0.10081727057695389	
7.501	0.30027762055397034	-0.07027450948953629	
7.616	0.2996734380722046	-0.0550261065363884	
7.71	0.29973068833351135	-0.04797612130641937	
7.8100000000000005	0.3000691533088684	-0.04127544164657593	
7.9030000000000005	0.3001170754432678	-0.03578673303127289	
7.999	0.2999977469444275	-0.03522748872637749	
8.108	0.3002079129219055	-0.03179440647363663	
8.202	0.30011945962905884	-0.0303050484508276	
8.331	0.30015113949775696	-0.03095543198287487	
8.416	0.3000791668891907	-0.0031570587307214737	
8.485	0.29947739839553833	-0.011039494536817074	
8.604	0.29980137944221497	-0.012557122856378555	
8.714	0.3000437021255493	-0.03180459141731262	
8.81	0.30005866289138794	-0.03584570810198784	
8.893	0.3001881241798401	-0.032027680426836014	
9.012	0.29998886585235596	-0.031135519966483116	
9.116	0.30024418234825134	-0.0032348986715078354	
